"A._CID","B._Lib_Con","C._MID","F1.1","F1.2","F1.3","G1.1","G1.2","G1.3","G1.4","H1.1","H1.2","I1.1","I1.2","F1.4"
3,0,"LIB012",1,1,0,0,0,0,0,0,0,2,0,1
3,0,"LIB013",0,0,0,0,0,1,0,0,0,3,4,1
3,0,"LIB014",0,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB015",0,1,0,0,0,0,0,0,0,0,0,1
1,0,"LIB012",0,1,0,0,0,0,1,0,0,2,3,1
1,0,"LIB013",0,1,0,0,0,0,0,0,0,3,4,1
1,0,"LIB014",0,1,0,0,0,1,1,0,0,0,0,1
1,0,"LIB015",0,1,0,0,0,0,1,0,0,2,0,1
1,0,"LIB016",0,1,0,0,0,1,0,0,0,0,0,1
1,0,"LIB018",0,1,0,0,0,1,0,0,0,3,4,1
1,0,"LIB019",0,1,0,0,0,0,0,0,0,1,3,1
1,0,"LIB020",0,1,0,0,0,0,0,1,0,1,1,1
1,0,"LIB021",0,1,0,0,0,0,1,0,0,3,0,1
1,0,"LIB022",0,1,0,0,0,1,0,0,0,0,2,1
1,0,"LIB023",0,1,0,0,0,0,1,0,0,4,3,1
1,0,"LIB024",0,1,0,0,0,1,0,0,0,0,0,1
1,0,"LIB026",0,0,0,0,0,0,1,0,0,2,0,1
1,0,"LIB027",1,1,0,0,0,0,0,0,0,0,2,1
1,0,"LIB028",0,0,1,0,0,0,0,0,0,2,0,1
1,0,"LIB029",0,1,0,0,0,1,0,0,0,3,2,1
1,0,"LIB030",0,1,0,0,0,1,0,0,0,0,2,1
1,0,"LIB032",0,1,0,0,0,1,1,0,0,0,0,1
1,0,"LIB033",0,0,1,0,0,0,0,0,0,2,3,1
1,0,"LIB034",0,1,0,0,0,1,0,0,0,0,2,1
3,0,"LIB016",0,1,0,0,0,1,0,0,0,3,0,1
1,0,"LIB035",1,1,1,0,0,0,1,0,0,2,3,1
3,0,"LIB018",0,0,0,0,0,1,0,0,0,3,4,1
1,0,"LIB036",0,1,0,0,0,1,1,0,0,0,0,1
1,0,"LIB037",0,0,1,0,0,0,0,0,0,4,0,1
3,0,"LIB019",0,1,0,0,0,0,1,0,0,2,0,1
1,0,"LIB038",1,1,1,0,0,1,1,0,0,0,0,1
3,0,"LIB020",0,0,0,0,0,0,0,0,0,1,4,1
1,0,"LIB039",0,0,1,0,0,1,0,0,0,0,2,1
3,0,"LIB021",0,1,0,0,0,1,1,0,0,0,0,1
1,0,"LIB040",0,0,1,0,0,0,0,0,0,2,0,1
3,0,"LIB022",0,1,0,0,0,1,0,0,0,0,2,1
3,0,"LIB023",0,1,0,0,0,0,1,0,0,0,0,1
1,0,"LIB044",1,1,0,0,0,0,0,0,0,0,0,1
1,0,"LIB045",0,1,0,0,0,0,1,0,0,0,0,1
1,0,"LIB046",1,1,0,0,0,0,1,0,0,2,0,1
3,0,"LIB024",0,1,0,0,0,0,0,0,0,0,3,1
1,0,"LIB047",0,1,0,0,0,0,1,0,0,2,0,1
3,0,"LIB026",0,0,0,0,0,0,0,0,0,0,0,1
1,0,"LIB048",0,1,0,0,0,0,0,0,0,2,0,1
3,0,"LIB027",1,1,0,0,0,0,0,0,0,3,2,1
1,0,"LIB049",0,1,0,0,0,0,0,0,0,2,3,1
3,0,"LIB028",0,0,1,0,0,0,0,0,0,2,0,1
3,0,"LIB029",1,1,0,0,0,0,0,0,0,0,2,1
1,0,"LIB050",1,1,0,0,0,0,0,0,0,3,2,1
1,0,"LIB051",0,1,0,0,0,1,1,0,0,0,0,1
1,0,"LIB052",0,1,0,0,0,0,0,0,0,3,3,1
1,0,"LIB053",0,0,1,0,0,1,0,0,0,0,0,1
1,0,"LIB054",0,1,0,0,0,1,0,0,0,0,2,1
1,0,"LIB055",0,1,0,0,0,0,0,0,0,4,0,1
1,0,"LIB056",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB057",0,1,0,0,0,0,0,0,0,0,0,1
1,0,"LIB058",1,1,0,0,0,0,1,0,0,3,3,1
1,0,"LIB060",0,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB030",0,0,0,0,0,0,0,0,0,0,0,1
3,0,"LIB032",0,1,0,0,0,1,1,0,0,0,0,1
3,0,"LIB033",0,0,0,0,0,0,0,0,0,2,0,1
3,0,"LIB034",0,1,0,0,0,1,0,0,0,0,4,1
3,0,"LIB035",1,1,0,0,0,0,1,0,0,2,0,1
3,0,"LIB036",0,1,0,0,0,1,0,0,0,0,0,1
3,0,"LIB037",0,0,1,0,0,0,0,0,0,4,0,1
3,0,"LIB038",0,1,0,0,0,1,0,0,0,0,0,1
3,0,"LIB039",0,0,1,0,0,0,0,0,0,0,2,1
3,0,"LIB040",0,0,1,0,0,0,0,0,0,3,0,1
3,0,"LIB044",1,1,0,0,0,0,0,0,0,3,0,1
3,0,"LIB045",0,1,0,0,0,0,0,0,0,3,3,1
3,0,"LIB046",1,1,0,0,0,0,0,0,0,3,0,1
3,0,"LIB047",0,0,0,0,0,0,0,0,0,2,0,1
3,0,"LIB048",0,1,0,0,0,0,0,0,0,2,2,1
3,0,"LIB049",1,1,0,0,0,0,0,0,0,2,0,1
3,0,"LIB050",0,1,0,0,0,0,0,0,0,0,3,1
3,0,"LIB051",0,0,0,0,0,0,0,0,0,0,3,1
3,0,"LIB052",0,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB053",0,0,1,0,0,1,0,0,0,0,0,1
3,0,"LIB054",0,1,0,0,0,1,0,0,0,0,2,1
3,0,"LIB055",0,1,0,0,0,0,0,0,0,4,0,1
3,0,"LIB056",0,0,0,0,0,0,0,0,0,2,0,1
3,0,"LIB057",0,1,0,0,0,1,0,0,0,0,2,1
3,0,"LIB058",1,1,0,0,0,0,0,0,0,3,1,1
3,0,"LIB060",0,1,0,0,0,1,0,0,0,0,2,1
1,0,"LIB061",0,0,0,0,0,0,0,0,0,0,0,1
1,0,"LIB062",0,1,0,0,0,0,0,0,0,1,1,1
1,0,"LIB063",0,1,0,0,0,0,0,0,0,3,0,1
1,0,"LIB064",1,1,0,0,0,0,1,0,0,1,3,1
1,0,"LIB066",0,1,0,0,0,0,0,0,0,2,3,1
1,0,"LIB067",0,1,0,0,0,0,0,0,0,0,0,1
1,0,"LIB068",0,0,0,0,0,0,0,0,0,2,2,1
1,0,"LIB069",0,0,1,0,0,0,0,0,0,3,3,1
1,0,"LIB070",0,0,0,0,0,0,0,0,0,2,2,1
1,0,"LIB071",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB072",0,1,1,0,0,0,0,0,0,3,3,1
1,0,"LIB074",0,0,1,0,1,0,0,0,0,2,3,1
1,0,"LIB075",0,1,0,0,0,0,1,0,0,1,0,1
1,0,"LIB076",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB077",0,0,0,0,0,0,0,0,0,2,2,1
1,0,"LIB078",0,1,0,0,0,1,0,0,0,3,3,1
1,0,"LIB079",0,1,0,0,0,0,1,0,0,2,0,1
1,0,"LIB080",0,1,0,0,0,0,0,0,0,4,0,1
1,0,"LIB081",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB082",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB083",1,1,0,0,0,0,1,0,0,2,3,1
1,0,"LIB084",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB085",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB086",0,0,1,0,0,1,0,0,0,3,2,1
1,0,"LIB087",0,1,0,0,0,0,0,0,0,0,0,1
1,0,"LIB088",1,1,0,0,0,0,1,0,0,4,0,1
2,0,"LIB012",1,1,0,0,0,0,0,0,0,3,0,1
2,0,"LIB013",0,0,1,0,0,0,0,0,0,3,4,1
2,0,"LIB014",0,1,0,0,0,0,0,0,0,0,0,1
2,0,"LIB015",0,1,0,0,0,0,0,0,0,0,3,1
2,0,"LIB016",0,1,0,0,0,0,0,0,0,1,3,1
2,0,"LIB018",0,0,0,0,0,0,0,0,0,3,4,1
2,0,"LIB019",0,1,0,0,0,0,1,0,0,1,0,1
2,0,"LIB020",0,1,0,0,0,0,0,1,0,1,3,1
2,0,"LIB021",1,1,0,0,0,0,1,0,0,3,0,1
2,0,"LIB022",0,1,0,1,0,1,0,0,0,1,0,1
2,0,"LIB023",0,1,0,0,0,0,1,0,0,0,0,1
2,0,"LIB024",0,1,0,0,0,1,0,0,0,0,0,1
2,0,"LIB026",0,1,0,0,0,0,0,0,0,0,0,1
2,0,"LIB027",1,1,0,0,0,0,0,0,0,2,2,1
2,0,"LIB028",0,0,1,0,0,0,0,0,0,2,0,1
2,0,"LIB029",0,1,0,0,0,0,0,0,0,3,3,1
2,0,"LIB030",1,1,0,0,0,1,0,0,0,0,4,1
3,0,"LIB061",0,0,0,0,0,0,0,0,0,0,0,1
3,0,"LIB062",0,1,0,0,0,0,0,0,0,3,1,1
3,0,"LIB063",0,1,0,0,0,0,0,0,0,3,3,1
3,0,"LIB064",1,1,0,0,0,0,1,0,0,3,0,1
3,0,"LIB066",0,1,0,0,0,1,0,0,0,3,3,1
3,0,"LIB067",0,1,0,1,0,0,0,0,0,0,0,1
3,0,"LIB068",0,0,0,0,0,0,0,0,0,2,3,1
3,0,"LIB069",0,0,1,0,0,0,0,0,0,3,1,1
3,0,"LIB070",0,0,0,0,0,0,0,0,0,2,2,1
3,0,"LIB071",0,1,0,0,0,0,0,0,0,2,0,1
3,0,"LIB072",0,1,0,0,0,1,0,0,0,0,0,1
3,0,"LIB074",0,0,1,0,0,0,0,0,0,0,0,1
3,0,"LIB075",0,1,0,0,0,0,0,0,0,1,0,1
3,0,"LIB076",0,1,0,0,0,0,0,0,0,2,0,1
3,0,"LIB077",0,0,0,0,0,0,0,0,0,2,2,1
3,0,"LIB078",0,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB079",0,1,0,0,0,1,1,0,0,0,0,1
3,0,"LIB080",0,1,0,0,0,0,0,0,0,4,0,1
3,0,"LIB081",0,1,0,0,0,0,0,0,0,2,0,1
3,0,"LIB082",0,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB083",1,1,0,0,0,0,1,0,0,2,0,1
3,0,"LIB084",0,1,0,0,0,0,0,0,0,2,2,1
3,0,"LIB085",0,0,0,0,0,0,0,0,0,3,0,1
3,0,"LIB086",0,0,1,0,0,0,0,0,0,0,4,1
3,0,"LIB087",0,1,0,0,0,0,0,0,0,3,2,1
3,0,"LIB088",1,1,0,0,0,0,0,0,0,4,0,1
3,0,"LIB092",0,0,1,0,0,1,0,0,0,0,0,1
3,0,"LIB093",0,0,0,0,0,1,0,0,0,0,4,1
3,0,"LIB094",1,1,0,0,0,0,0,0,0,2,0,1
2,0,"LIB032",0,1,0,0,0,1,1,0,0,0,0,1
3,0,"LIB095",0,1,0,0,0,0,0,0,0,2,0,1
2,0,"LIB033",0,0,1,0,0,0,0,0,0,3,0,1
3,0,"LIB096",1,1,0,0,0,0,1,0,0,2,0,1
2,0,"LIB034",1,1,0,0,0,1,0,0,0,0,2,1
2,0,"LIB035",1,1,0,0,0,0,0,0,0,3,0,1
2,0,"LIB036",1,1,0,0,0,0,0,0,0,0,0,1
2,0,"LIB037",0,0,1,0,0,0,0,0,0,4,0,1
2,0,"LIB038",0,1,1,0,0,1,0,0,0,0,0,1
2,0,"LIB039",0,0,1,0,0,0,0,0,0,0,0,1
2,0,"LIB040",0,0,1,1,0,0,0,0,0,1,0,1
2,0,"LIB044",0,0,0,0,0,1,0,0,0,3,4,1
2,0,"LIB045",0,1,0,0,0,0,0,0,0,0,4,1
3,0,"LIB097",0,0,0,0,0,0,0,0,0,1,0,1
2,0,"LIB046",1,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB099",1,1,0,0,0,1,0,0,0,0,0,1
3,0,"LIB100",1,1,0,0,0,0,0,0,0,3,2,1
2,0,"LIB047",0,1,1,0,0,0,0,0,0,2,0,1
2,0,"LIB048",0,1,0,0,0,0,0,0,0,2,3,1
2,0,"LIB049",1,1,0,0,0,0,0,0,0,2,0,1
2,0,"LIB050",1,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB101",1,1,0,0,0,0,1,0,0,2,0,1
2,0,"LIB051",0,1,0,0,0,0,0,0,0,0,0,1
2,0,"LIB052",0,1,0,0,0,0,0,1,0,0,0,1
2,0,"LIB053",0,0,1,0,0,1,0,0,0,0,0,1
3,0,"LIB102",1,1,0,0,0,0,0,0,0,2,0,1
2,0,"LIB054",0,1,0,0,0,1,0,0,0,3,2,1
2,0,"LIB055",0,1,0,0,0,0,0,0,0,4,0,1
3,0,"LIB103",1,1,0,0,0,0,0,0,0,2,2,1
2,0,"LIB056",0,1,0,0,0,0,0,0,0,2,0,1
2,0,"LIB057",1,1,0,0,0,0,0,0,0,1,3,1
3,0,"LIB104",0,0,0,0,0,0,0,0,0,2,2,1
2,0,"LIB058",1,1,0,0,0,0,0,0,1,3,3,1
2,0,"LIB060",0,1,0,0,0,1,0,0,0,0,0,1
3,0,"LIB105",0,1,0,0,1,0,0,0,0,0,0,1
3,0,"LIB106",0,1,0,0,0,0,0,0,0,2,0,1
3,0,"LIB107",0,0,1,0,0,0,0,0,0,0,0,1
3,0,"LIB108",0,1,0,0,0,0,0,0,0,3,0,1
3,0,"LIB109",0,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB110",0,0,1,0,0,0,0,0,0,2,1,1
3,0,"LIB111",0,1,0,0,0,1,0,0,0,0,0,1
3,0,"LIB112",0,1,0,0,0,0,1,0,1,0,0,1
3,0,"LIB114",0,0,1,0,0,0,0,0,0,0,0,1
2,0,"LIB061",0,0,0,0,0,0,0,0,0,0,0,1
2,0,"LIB062",0,1,0,0,0,0,0,0,0,2,1,1
2,0,"LIB063",0,1,0,0,1,0,0,0,0,3,0,1
2,0,"LIB064",1,1,0,0,0,0,0,0,0,1,0,1
3,0,"LIB116",0,1,0,0,0,0,0,0,0,0,0,1
2,0,"LIB066",0,1,0,0,0,0,0,0,0,3,3,1
3,0,"LIB117",0,0,0,0,0,0,0,0,0,2,0,1
2,0,"LIB067",0,1,0,1,0,0,0,0,0,0,0,1
2,0,"LIB068",0,0,0,0,0,0,0,0,0,2,2,1
3,0,"LIB118",1,1,0,0,0,0,0,0,0,1,1,1
2,0,"LIB069",0,0,1,0,0,0,0,0,0,3,1,1
2,0,"LIB070",0,0,0,0,0,0,0,0,0,2,2,1
2,0,"LIB071",0,1,0,0,0,0,0,0,0,3,0,1
2,0,"LIB072",0,1,0,0,0,1,0,0,0,0,0,1
2,0,"LIB074",0,1,1,0,0,0,0,0,0,0,0,1
2,0,"LIB075",0,1,0,0,0,0,1,0,0,1,0,1
2,0,"LIB076",0,1,0,0,0,0,1,0,0,1,0,1
2,0,"LIB077",0,1,0,0,0,0,0,0,0,2,3,1
2,0,"LIB078",0,1,0,0,0,0,0,0,0,0,3,1
3,0,"LIB121",0,1,0,0,0,1,0,0,0,0,0,1
2,0,"LIB079",0,1,0,0,0,0,1,0,0,1,0,1
2,0,"LIB080",0,1,0,0,0,0,0,0,0,4,0,1
2,0,"LIB081",0,1,0,0,0,0,0,1,0,2,0,1
3,0,"LIB122",0,1,0,0,0,1,1,0,0,0,0,1
2,0,"LIB082",0,1,0,0,0,0,0,0,0,0,0,1
2,0,"LIB083",1,1,0,0,0,0,0,0,0,2,3,1
3,0,"LIB124",0,1,0,0,0,0,0,0,0,0,3,1
2,0,"LIB084",0,1,0,0,0,0,0,0,0,2,0,1
2,0,"LIB085",0,1,0,0,0,0,0,0,0,0,0,1
2,0,"LIB086",0,0,1,0,0,0,0,0,0,0,4,1
2,0,"LIB087",0,1,0,0,1,0,0,0,0,0,0,1
3,0,"LIB125",0,1,0,0,0,1,1,0,0,0,0,1
2,0,"LIB088",1,1,1,0,0,0,0,0,0,4,0,1
3,0,"LIB126",1,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB127",0,1,0,0,0,0,0,0,0,1,1,1
3,0,"LIB128",0,1,0,0,0,0,0,0,0,2,0,1
3,0,"LIB129",0,1,0,0,0,0,0,0,0,2,2,1
3,0,"LIB130",0,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB132",0,1,0,0,0,0,0,0,0,4,0,1
1,0,"LIB092",0,1,0,0,0,1,0,0,0,0,0,1
1,0,"LIB093",0,1,0,0,0,1,0,0,0,0,4,1
1,0,"LIB094",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB095",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB096",1,1,0,0,0,0,0,0,0,2,3,1
1,0,"LIB097",0,1,0,0,0,0,0,0,0,1,0,1
1,0,"LIB099",1,1,0,0,0,0,0,0,0,0,0,1
1,0,"LIB100",1,1,0,0,0,0,0,0,0,0,2,1
1,0,"LIB101",1,1,0,0,0,0,1,0,0,2,0,1
1,0,"LIB102",0,1,0,0,0,0,1,0,0,2,0,1
1,0,"LIB103",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB104",0,1,0,0,0,0,0,0,0,2,1,1
1,0,"LIB105",0,1,0,0,1,0,0,0,0,3,3,1
1,0,"LIB106",0,1,0,0,0,0,0,0,0,2,3,1
1,0,"LIB107",0,0,1,0,0,0,0,0,0,2,1,1
1,0,"LIB108",0,1,0,0,0,0,1,0,0,1,0,1
1,0,"LIB109",0,1,0,0,0,0,0,0,0,0,0,1
1,0,"LIB110",0,0,1,0,0,0,0,0,0,2,1,1
1,0,"LIB111",0,1,0,0,0,0,0,0,0,2,2,1
1,0,"LIB112",0,1,0,0,0,0,1,0,0,3,3,1
1,0,"LIB114",0,0,1,0,0,0,0,0,0,2,0,1
1,0,"LIB116",0,1,0,0,0,0,0,0,0,0,0,1
1,0,"LIB117",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB118",1,1,0,0,0,0,0,0,0,2,1,1
1,0,"LIB121",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB122",0,1,0,0,0,0,1,0,0,2,0,1
1,0,"LIB124",0,1,0,0,0,0,0,0,0,3,0,1
1,0,"LIB125",0,1,0,0,0,0,1,0,0,2,0,1
1,0,"LIB126",1,1,1,0,0,0,0,0,1,3,3,1
1,0,"LIB127",0,1,0,0,0,0,0,0,0,1,1,1
1,0,"LIB128",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB129",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB130",0,1,0,0,0,0,0,0,0,0,3,1
1,0,"LIB132",0,1,0,0,0,0,0,0,0,4,3,1
1,0,"LIB134",0,1,0,0,0,0,0,0,0,1,0,1
1,0,"LIB135",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB136",0,1,0,0,0,0,0,0,0,2,3,1
1,0,"LIB137",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB138",0,1,0,0,0,1,1,0,0,0,3,1
1,0,"LIB139",0,0,0,0,0,0,0,0,0,2,0,1
1,0,"LIB140",1,1,0,0,0,1,0,0,0,0,0,1
1,0,"LIB142",1,1,0,0,0,0,1,0,0,2,0,1
1,0,"LIB143",0,1,0,0,0,0,1,0,0,2,0,1
1,0,"LIB144",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB145",0,1,0,0,1,1,0,0,0,3,0,1
1,0,"LIB146",0,0,1,0,0,1,0,0,0,3,1,1
1,0,"LIB147",0,1,0,0,0,0,0,0,0,1,0,1
1,0,"LIB148",1,1,0,0,0,0,0,0,0,2,1,1
1,0,"LIB149",0,1,0,0,0,0,0,0,0,0,2,1
1,0,"LIB150",0,1,0,0,0,0,1,0,0,2,0,1
3,0,"LIB134",0,1,0,0,0,1,0,0,0,3,0,1
3,0,"LIB135",0,1,0,0,0,0,0,0,0,2,0,1
3,0,"LIB136",0,1,0,0,0,0,0,0,0,2,2,1
3,0,"LIB137",0,1,0,0,0,1,0,0,0,0,0,1
3,0,"LIB138",0,1,0,0,0,1,0,0,0,0,0,1
3,0,"LIB139",0,0,1,0,0,0,0,0,0,2,0,1
3,0,"LIB140",1,1,0,0,0,1,0,0,0,0,0,1
3,0,"LIB142",0,1,0,0,0,0,1,0,0,3,0,1
3,0,"LIB143",0,1,0,0,0,0,1,0,0,2,0,1
3,0,"LIB144",0,1,0,0,0,0,0,0,0,2,0,1
3,0,"LIB145",0,1,0,0,0,1,0,0,0,0,0,1
3,0,"LIB146",0,0,1,0,0,0,0,0,0,0,1,1
3,0,"LIB147",0,1,0,0,0,0,0,0,0,1,0,1
3,0,"LIB148",1,1,0,0,0,0,0,0,0,2,2,1
3,0,"LIB149",0,1,0,0,0,0,0,0,0,0,2,1
3,0,"LIB150",0,1,0,0,0,0,1,0,0,2,0,1
3,0,"LIB153",0,1,0,0,0,0,0,0,0,4,0,1
3,0,"LIB154",0,1,0,0,0,0,1,0,0,4,0,1
3,0,"LIB156",0,1,0,0,0,0,1,0,0,3,3,1
3,0,"LIB157",0,1,0,0,0,0,0,0,0,2,0,1
3,0,"LIB158",0,1,0,0,0,0,1,0,0,0,0,1
3,0,"LIB160",0,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB161",0,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB162",0,0,0,0,0,0,0,0,0,0,0,1
3,0,"LIB163",0,1,0,0,0,0,1,0,0,0,0,1
3,0,"LIB164",0,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB165",0,1,0,0,0,0,1,0,0,0,0,1
3,0,"LIB166",0,1,0,0,0,0,1,0,0,0,0,1
3,0,"LIB167",0,0,0,0,0,0,0,0,0,0,0,1
3,0,"LIB168",0,1,0,0,0,0,1,0,0,0,0,1
3,0,"LIB169",0,0,0,0,0,0,0,0,0,2,3,1
3,0,"LIB170",0,0,0,0,0,0,0,0,0,2,2,1
3,0,"LIB171",0,1,0,0,0,0,0,0,0,2,1,1
3,0,"LIB172",0,1,0,0,0,0,0,0,0,2,1,1
3,0,"LIB173",0,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB174",0,1,0,0,0,1,1,0,0,0,0,1
3,0,"LIB177",0,1,0,0,0,0,1,0,0,2,0,1
3,0,"LIB179",1,1,0,0,0,0,1,0,0,2,0,1
3,0,"LIB180",1,1,0,1,0,0,0,0,0,0,0,1
3,0,"LIB182",0,1,0,0,0,0,1,0,0,4,0,1
3,0,"LIB183",0,1,0,0,0,0,0,0,0,0,0,1
